역이름,역지역,x,y,호선
삼산체육관역,수도권,37.50649141,126.7414097,07호선
굴포천역,수도권,37.50702756,126.731342,07호선
부평구청역,수도권,37.50741907,126.721433,07호선
암사역,수도권,37.55013386,127.1275373,08호선
공릉역,수도권,37.62553917,127.07302,07호선
춘의역,수도권,37.50368117,126.7869967,07호선
천호역,수도권,37.53849681,127.1239194,08호선
강동구청역,수도권,37.53019318,127.1204437,08호선
몽촌토성역,수도권,37.5178029,127.112845,08호선
잠실역,수도권,37.51330927,127.1002152,08호선
석촌역,수도권,37.50541053,127.1069905,08호선
송파역,수도권,37.49971136,127.1121845,08호선
가락시장역,수도권,37.49309205,127.1182582,08호선
문정역,수도권,37.48602386,127.1224758,08호선
장지역,수도권,37.4786317,127.126172,08호선
복정역,수도권,37.47073829,127.1267014,08호선
산성역,수도권,37.45679931,127.1500739,08호선
남한산성입구역,수도권,37.45166871,127.1598735,08호선
단대오거리역,수도권,37.4450234,127.156763,08호선
신흥역,수도권,37.44090864,127.1475336,08호선
수진역,수도권,37.43736718,127.1405209,08호선
모란역,수도권,37.43402749,127.1299614,08호선
계양역,수도권,37.57176634,126.7362714,인천선
귤현역,수도권,37.56628441,126.7426746,인천선
박촌역,수도권,37.55365762,126.7450494,인천선
임학역,수도권,37.54499402,126.7386289,인천선
계산역,수도권,37.54329353,126.7277267,인천선
경인교대입구역,수도권,37.53810989,126.7226087,인천선
작전역,수도권,37.53025304,126.7225473,인천선
갈산역,수도권,37.51711408,126.7215327,인천선
부평구청역,수도권,37.50741907,126.721433,인천선
부평시장역,수도권,37.49835698,126.7222809,인천선
부평역,수도권,37.48944182,126.7243266,인천선
동수역,수도권,37.48549993,126.7185973,인천선
부평삼거리역,수도권,37.47782129,126.7102825,인천선
인천시청역,수도권,37.45772679,126.7022222,인천선
예술회관역,수도권,37.44851514,126.7009026,인천선
인천터미널역,수도권,37.44191665,126.6996858,인천선
상동역,수도권,37.50577775,126.7531744,07호선
문학경기장역,수도권,37.43463332,126.6984495,인천선
선학역,수도권,37.42693984,126.6989096,인천선
신연수역,수도권,37.41809734,126.6940197,인천선
원인재역,수도권,37.41236884,126.6878756,인천선
동춘역,수도권,37.40456527,126.6808375,인천선
동막역,수도권,37.39793159,126.6734345,인천선
캠퍼스타운역,수도권,37.38843935,126.6622061,인천선
테크노파크역,수도권,37.38227737,126.6562946,인천선
지식정보단지역,수도권,37.3774892,126.6458615,인천선
인천대입구역,수도권,37.38619191,126.6395197,인천선
센트럴파크역,수도권,37.39284549,126.6349707,인천선
국제업무지구역,수도권,37.39964339,126.6305332,인천선
검단사거리역,수도권,37.60165397,126.6564203,인천2호선
마전역,수도권,37.59763047,126.6672189,인천2호선
독정역,수도권,37.58484283,126.6759936,인천2호선
검암역,수도권,37.56924921,126.6736388,인천2호선
검바위역,수도권,37.56111491,126.6775225,인천2호선
서구청역,수도권,37.54403015,126.6768266,인천2호선
가정역,수도권,37.52481684,126.6753484,인천2호선
석남역,수도권,37.50746614,126.6762831,인천2호선
서부여성회관역,수도권,37.50032905,126.6758616,인천2호선
인천가좌역,수도권,37.48982162,126.6752285,인천2호선
가재울역,수도권,37.48413238,126.6837557,인천2호선
주안국가산단역,수도권,37.47390817,126.6812212,인천2호선
주안역,수도권,37.46503882,126.6799476,인천2호선
시민공원역,수도권,37.45837437,126.6810611,인천2호선
석바위시장역,수도권,37.45766545,126.692344,인천2호선
인천시청역,수도권,37.45772679,126.7022222,인천2호선
석천사거리역,수도권,37.45677405,126.7104089,인천2호선
모래내시장역,수도권,37.45585919,126.7196125,인천2호선
만수역,수도권,37.45496829,126.7317318,인천2호선
인천대공원역,수도권,37.44847299,126.7528429,인천2호선
운연역,수도권,37.43963899,126.7596067,인천2호선
개화역,수도권,37.57833729,126.7968823,09호선
김포공항역,수도권,37.56194774,126.8019069,09호선
공항시장역,수도권,37.56367389,126.810595,09호선
신방화역,수도권,37.56748653,126.8172183,09호선
마곡나루역,수도권,37.56670899,126.8274074,09호선
양천향교역,수도권,37.56806284,126.8419608,09호선
증미역,수도권,37.55812134,126.8606334,09호선
등촌역,수도권,37.55072086,126.8655586,09호선
선유도역,수도권,37.53815324,126.8933248,09호선
왕길역,수도권,37.59512545,126.6424774,인천2호선
완정역,수도권,37.5928354,126.673015,인천2호선
염창역,수도권,37.54696492,126.8748671,09호선
신목동역,수도권,37.54427035,126.8830868,09호선
당산역,수도권,37.5347735,126.9026073,09호선
국회의사당역,수도권,37.52813568,126.9178209,09호선
여의도역,수도권,37.52116647,126.9246384,09호선
샛강역,수도권,37.51736656,126.9283751,09호선
노량진역,수도권,37.51357125,126.9408887,09호선
노들역,수도권,37.5126577,126.9530825,09호선
흑석역,수도권,37.50916547,126.963445,09호선
동작역,수도권,37.50297056,126.980299,09호선
구반포역,수도권,37.50142181,126.9874468,09호선
신반포역,수도권,37.50349472,126.9960643,09호선
고속터미널역,수도권,37.50453984,127.0051346,09호선
사평역,수도권,37.50423263,127.015268,09호선
신논현역,수도권,37.50480751,127.0254694,09호선
석촌고분역,수도권,37.50246428,127.0964912,09호선
석촌역,수도권,37.50541053,127.1069905,09호선
송파나루역,수도권,37.51100951,127.1126538,09호선
한성백제역,수도권,37.51651998,127.1164401,09호선
올림픽공원역,수도권,37.51632457,127.1309637,09호선
둔촌오륜역,수도권,37.51939724,127.1386385,09호선
중앙보훈병원역,수도권,37.52839539,127.1484071,09호선
마곡나루역,수도권,37.56670899,126.8274074,공항철도
김포공항역,수도권,37.56194774,126.8019069,공항철도
계양역,수도권,37.57176634,126.7362714,공항철도
검암역,수도권,37.56924921,126.6736388,공항철도
정자역,수도권,37.3661666,127.1080794,신분당선
미금역,수도권,37.3500734,127.1090044,신분당선
동천역,수도권,37.33782491,127.1028478,신분당선
수지구청역,수도권,37.32247817,127.0946585,신분당선
성복역,수도권,37.31351444,127.0803656,신분당선
상현역,수도권,37.29782538,127.069341,신분당선
광교중앙역,수도권,37.28837349,127.0517173,신분당선
새말역,수도권,37.74883428,127.0637459,의정부경전철
경기도청북부청사역,수도권,37.75075784,127.0715997,의정부경전철
곤제역,수도권,37.75053356,127.0838088,의정부경전철
가양역,수도권,37.56142949,126.8544022,09호선
선정릉역,수도권,37.51092904,127.0436137,09호선
삼성중앙역,수도권,37.51296146,127.0530256,09호선
봉은사역,수도권,37.51423744,127.0602203,09호선
종합운동장역,수도권,37.51113026,127.0738359,09호선
삼전역,수도권,37.5045437,127.0873557,09호선
서울역,수도권,37.55331631,126.9697383,공항철도
공덕역,수도권,37.54453447,126.9514331,공항철도
홍대입구역,수도권,37.55686353,126.923765,공항철도
디지털미디어시티역,수도권,37.57600202,126.9012631,공항철도
청라국제도시역,수도권,37.55645368,126.6246449,공항철도
운서역,수도권,37.49280526,126.4937254,공항철도
양재시민의숲역,수도권,37.47011519,127.0384578,신분당선
판교역,수도권,37.39476222,127.1111922,신분당선
광교역,수도권,37.30210833,127.0442598,신분당선
회룡역,수도권,37.72379508,127.0472772,의정부경전철
범골역,수도권,37.72878786,127.0436504,의정부경전철
경전철의정부역,수도권,37.73725711,127.0432923,의정부경전철
의정부시청역,수도권,37.73922403,127.0348299,의정부경전철
흥선역,수도권,37.74327768,127.0371691,의정부경전철
의정부중앙역,수도권,37.7436695,127.0496498,의정부경전철
공항화물청사역,수도권,37.45905522,126.4774964,공항철도
인천공항1터미널역,수도권,37.44751771,126.452579,공항철도
인천공항2터미널역,수도권,37.46878217,126.4336365,공항철도
영종역,수도권,37.51201816,126.5249715,공항철도
강남역,수도권,37.49808544,127.0279777,신분당선
양재역,수도권,37.48456871,127.034146,신분당선
강남대역,수도권,37.27017075,127.1260489,용인경전철
지석역,수도권,37.26972649,127.1366461,용인경전철
어정역,수도권,37.27494413,127.1437363,용인경전철
동백역,수도권,37.26909419,127.152677,용인경전철
초당역,수도권,37.26079569,127.1594467,용인경전철
시청.용인대역,수도권,37.23943123,127.1788761,용인경전철
명지대역,수도권,37.23806189,127.1902777,용인경전철
김량장역,수도권,37.23730938,127.1985928,용인경전철
운동장.송담대역,수도권,37.23790397,127.2091202,용인경전철
고진역,수도권,37.24463476,127.2141656,용인경전철
보평역,수도권,37.25904358,127.2184675,용인경전철
둔전역,수도권,37.26719783,127.2136206,용인경전철
발곡역,수도권,37.72714428,127.052951,의정부경전철
송산역,수도권,37.73726885,127.0871973,의정부경전철
탑석역,수도권,37.73348351,127.0888945,의정부경전철
북한산우이역,수도권,37.66298795,127.012739,우이신설경전철
솔밭공원역,수도권,37.65597826,127.0132591,우이신설경전철
4·19민주묘지역,수도권,37.64952717,127.0136886,우이신설경전철
가오리역,수도권,37.64163416,127.016769,우이신설경전철
삼양사거리역,수도권,37.62130733,127.0204798,우이신설경전철
솔샘역,수도권,37.62024516,127.0135699,우이신설경전철
북한산보국문역,수도권,37.61211873,127.0082453,우이신설경전철
정릉역,수도권,37.6026038,127.0135214,우이신설경전철
성신여대입구역,수도권,37.59296272,127.0171204,우이신설경전철
보문역,수도권,37.58553809,127.0199945,우이신설경전철
오리역,수도권,37.33981974,127.1089444,분당선
간석오거리역,수도권,37.46707543,126.707905,인천선
종로3가역,수도권,37.57042084,126.9921442,01호선
종로5가역,수도권,37.57096169,127.0015395,01호선
동대문역,수도권,37.571664,127.010618,01호선
신설동역,수도권,37.57602276,127.0244522,01호선
제기동역,수도권,37.57816449,127.0349359,01호선
청량리역,수도권,37.58071852,127.0484998,01호선
동묘앞역,수도권,37.57321306,127.0163461,01호선
대곡역,수도권,37.63168113,126.810921,경의선
충무로역,수도권,37.56139298,126.9941372,03호선
죽전역,수도권,37.32437739,127.1075005,분당선
청계산입구역,수도권,37.44834032,127.0547203,신분당선
신설동역,수도권,37.57602276,127.0244522,우이신설경전철
소사역,수도권,37.48279309,126.7956262,서해선
소새울역,수도권,37.46850593,126.7972703,서해선
시흥대야역,수도권,37.45009985,126.7929802,서해선
신천역,수도권,37.43924062,126.7867727,서해선
신현역,수도권,37.40956305,126.7878282,서해선
시흥시청역,수도권,37.38155438,126.8059278,서해선
시흥능곡역,수도권,37.36993571,126.8087123,서해선
달미역,수도권,37.34878072,126.809398,서해선
선부역,수도권,37.33440122,126.809976,서해선
초지역,수도권,37.32066297,126.8059491,서해선
원곡역,수도권,37.31314918,126.7957254,서해선
원시역,수도권,37.30260931,126.7867755,서해선
양촌역,수도권,37.64172689,126.6146761,김포골드
구래역,수도권,37.64526526,126.6279376,김포골드
마산역,수도권,35.2362021,128.5771687,김포골드
장기역,수도권,37.64405437,126.6690741,김포골드
운양역,수도권,37.65377136,126.6838309,김포골드
걸포북변역,수도권,37.63162799,126.7057894,김포골드
사우역,수도권,37.62000485,126.7204244,김포골드
풍무역,수도권,37.61266242,126.7323442,김포골드
고촌역,수도권,37.6012098,126.7703214,김포골드
김포공항역,수도권,37.56194774,126.8019069,김포골드
서초역,수도권,37.49183552,127.007644,02호선
이매역,수도권,37.39470993,127.1272961,경강선
소요산역,수도권,37.94888318,127.0611195,01호선
남동구청역,수도권,37.44816748,126.7365477,인천2호선
왕십리역,수도권,37.56126116,127.0370785,02호선
판교역,수도권,37.39476222,127.1111922,경강선
신포역,수도권,37.46844368,126.6245202,수인선
신내역,수도권,37.61248742,127.1042669,06호선
상왕십리역,수도권,37.56443486,127.0292701,02호선
삼가역,수도권,37.24204192,127.1681754,용인경전철
한남역,수도권,37.52942532,127.0091865,경의선
지제역,수도권,37.01876739,127.0698282,01호선
전대.에버랜드역,수도권,37.28546037,127.2193783,용인경전철
대림역,수도권,37.49330273,126.8949265,02호선
아시아드경기장역,수도권,37.55131091,126.6770894,인천2호선
신설동역,수도권,37.57602276,127.0244522,02호선
도림천역,수도권,37.51450082,126.8826355,02호선
양천구청역,수도권,37.51237445,126.8657179,02호선
용두역,수도권,37.57405492,127.0382621,02호선
중랑역,수도권,37.5948318,127.0756623,경춘선
기흥역,수도권,37.27544207,127.1170374,분당선
검단오류역,수도권,37.59493622,126.6278939,인천2호선
용산역,수도권,37.53006915,126.964815,경의선
수원역,수도권,37.2657867,127.0000902,분당선
화정역,수도권,37.63463316,126.8326658,03호선
언주역,수도권,37.50732819,127.0339528,09호선
기흥역,수도권,37.27544207,127.1170374,용인경전철
서울역,수도권,37.55331631,126.9697383,01호선
시청역,수도권,37.56533728,126.9771812,01호선
종각역,수도권,37.57022168,126.9831338,01호선
화계역,수도권,37.6340838,127.0174924,우이신설경전철
삼양역,수도권,37.62691185,127.0181477,우이신설경전철
회기역,수도권,37.5897782,127.0580393,경의선
가좌역,수도권,37.56875056,126.9148106,경의선
괴정역,부산,35.0999289,128.9924695,01호선
교대역,부산,35.19578391,129.079977,01호선
구서역,부산,35.24727886,129.0912882,01호선
남산역,부산,35.26519224,129.0924079,01호선
남포역,부산,35.09789314,129.0347233,01호선
낫개역,부산,35.06533499,128.979659,01호선
노포역,부산,35.28383668,129.0950197,01호선
다대포항역,부산,35.0576669,128.9712978,01호선
다대포해수욕장역,부산,35.04814999,128.9657651,01호선
당리역,부산,35.10355244,128.9736963,01호선
대티역,부산,35.10315826,128.9999391,01호선
동대신역,부산,35.11032516,129.0177269,01호선
동래역,부산,35.20561432,129.078471,01호선
동매역,부산,35.08974919,128.9735171,01호선
두실역,부산,35.25700993,129.0913625,01호선
명륜역,부산,35.21256808,129.0797025,01호선
범내골역,부산,35.14731367,129.0592349,01호선
범어사역,부산,35.27306434,129.0926323,01호선
범일역,부산,35.14078756,129.0593338,01호선
부산역,부산,35.11510135,129.0414025,01호선
부산대역,부산,35.22964889,129.0894078,01호선
부산진역,부산,35.1287873,129.0495761,01호선
부전역,부산,35.16463714,129.0601107,01호선
사하역,부산,35.09975347,128.9833859,01호선
서대신역,부산,35.11090492,129.0121261,01호선
서면역,부산,35.15792855,129.0592831,01호선
시청역,부산,35.17967587,129.076559,01호선
신장림역,부산,35.07473963,128.9765757,01호선
신평역,부산,35.09522174,128.9606008,01호선
양정역,부산,35.17279452,129.071094,01호선
연산역,부산,35.18602365,129.0815942,01호선
온천장역,부산,35.22025638,129.0864216,01호선
자갈치역,부산,35.09719108,129.0260654,01호선
장림역,부산,35.08195467,128.9773418,01호선
장전역,부산,35.23806964,129.08813,01호선
좌천역,부산,35.31129934,129.2438542,01호선
중앙역,부산,35.10372329,129.0363595,01호선
초량역,부산,35.12052329,129.0426566,01호선
토성역,부산,35.10077466,129.0197722,01호선
하단역,부산,35.10622415,128.9667862,01호선
가야역,부산,35.15592834,129.0433001,02호선
감전역,부산,35.15533177,128.9914717,02호선
개금역,부산,35.1532278,129.0205635,02호선
경성대.부경대역,부산,35.13759348,129.1005015,02호선
광안역,부산,35.15784793,129.1131364,02호선
구남역,부산,35.19667598,128.994852,02호선
구명역,부산,35.20279855,128.9995471,02호선
금곡역,부산,35.26723367,129.0167984,02호선
금련산역,부산,35.14973961,129.1109517,02호선
남양산역,부산,35.32544055,129.0194091,02호선
남천역,부산,35.14200794,129.1078338,02호선
냉정역,부산,35.15124178,129.0121096,02호선
대연역,부산,35.1351255,129.092101,02호선
덕천역,부산,35.21041971,129.0051583,02호선
덕포역,부산,35.17331916,128.9837887,02호선
동백역,부산,35.16132594,129.1479899,02호선
동원역,부산,35.25863763,129.0124104,02호선
동의대역,부산,35.15405393,129.0325879,02호선
모덕역,부산,35.18040898,128.9855855,02호선
모라역,부산,35.18953422,128.9885519,02호선
못골역,부산,35.13471811,129.0843678,02호선
문현역,부산,35.13902831,129.0673857,02호선
민락역,부산,35.16706335,129.1220883,02호선
벡스코역,부산,35.17123993,129.1367054,02호선
부산대양산캠퍼스역,부산,35.31680797,129.0139829,02호선
부암역,부산,35.15736239,129.0501612,02호선
사상역,부산,35.16256857,128.9887072,02호선
서면역,부산,35.15792855,129.0592831,02호선
센텀시티역,부산,35.16894824,129.1317508,02호선
수영역,부산,35.16567676,129.1148095,02호선
수정역,부산,35.22316896,129.009096,02호선
양산역,부산,35.33873215,129.0264263,02호선
율리역,부산,35.24624837,129.0128511,02호선
장산역,부산,35.16994518,129.1770135,02호선
전포역,부산,35.15308476,129.0653713,02호선
주례역,부산,35.15047566,129.0028741,02호선
중동역,부산,35.16666894,129.1687615,02호선
증산역,부산,35.30825469,129.0102749,02호선
지게골역,부산,35.13555596,129.0744064,02호선
해운대역,부산,35.16363723,129.1588926,02호선
호포역,부산,35.28082925,129.0175092,02호선
화명역,부산,35.23451172,129.0076404,02호선
강서구청역,부산,35.21117988,128.9819865,03호선
거제역,부산,35.18849557,129.0740831,03호선
구포역,부산,35.20547021,128.9971093,03호선
남산정역,부산,35.21331852,129.0237429,03호선
대저역,부산,35.21304187,128.9606194,03호선
덕천역,부산,35.21041971,129.0051583,03호선
만덕역,부산,35.21300017,129.0362748,03호선
망미역,부산,35.17148538,129.1083092,03호선
물만골역,부산,35.17679717,129.0857052,03호선
미남역,부산,35.20684043,129.068972,03호선
배산역,부산,35.17349092,129.0955641,03호선
사직역,부산,35.1986145,129.0651843,03호선
수영역,부산,35.16567676,129.1148095,03호선
숙등역,부산,35.21207064,129.0131927,03호선
연산역,부산,35.18602365,129.0815942,03호선
종합운동장역,부산,35.19154731,129.0674205,03호선
체육공원역,부산,35.21246655,128.969412,03호선
고촌역,부산,35.23600666,129.1604578,04호선
금사역,부산,35.21577511,129.1151203,04호선
낙민역,부산,35.20021201,129.0907612,04호선
동래역,부산,35.20561432,129.078471,04호선
동부산대학역,부산,35.23237755,129.1537499,04호선
명장역,부산,35.20540842,129.1018738,04호선
미남역,부산,35.20684043,129.068972,04호선
반여농산물시장역,부산,35.21774666,129.1239782,04호선
서동역,부산,35.21316823,129.1075202,04호선
석대역,부산,35.21812998,129.1370117,04호선
수안역,부산,35.20173717,129.0838397,04호선
안평역,부산,35.333944,126.7802582,04호선
영산대역,부산,35.22559271,129.1461028,04호선
충렬사역,부산,35.20003683,129.0977611,04호선
국제금융센터.부산은행역,부산,35.14590643,129.0667259,02호선
각산역,대구,35.86798721,128.7242405,01호선
교대역,대구,35.85063736,128.5905762,01호선
대곡역,대구,35.80955835,128.5127572,01호선
대구역,대구,35.87593813,128.5962637,01호선
대명역,대구,35.83931822,128.5659359,01호선
동대구역역,대구,35.87755008,128.6278968,01호선
동촌역,대구,35.88605791,128.6502625,01호선
명덕역,대구,35.85782162,128.5910961,01호선
반야월역,대구,35.8659589,128.7135908,01호선
반월당역,대구,35.86449649,128.5933329,01호선
방촌역,대구,35.87963695,128.6701708,01호선
상인역,대구,35.81891945,128.5377634,01호선
설화명곡역,대구,35.79871233,128.4893441,01호선
성당못역,대구,35.83717922,128.5571731,01호선
송현역,대구,35.83103182,128.5517191,01호선
신기역,대구,37.34592726,129.0849767,01호선
신천역,대구,35.87467603,128.6178511,01호선
아양교역,대구,35.88719084,128.639921,01호선
안심역,대구,35.87120227,128.7337651,01호선
안지랑역,대구,35.83921644,128.5737252,01호선
영대병원역,대구,35.8441464,128.5880559,01호선
용계역,대구,35.87610149,128.6820102,01호선
월배역,대구,35.81616596,128.5303859,01호선
월촌역,대구,35.82368686,128.5454682,01호선
율하역,대구,35.86978751,128.6927044,01호선
중앙로역,대구,35.87085011,128.5939694,01호선
진천역,대구,35.81387994,128.5230621,01호선
칠성시장역,대구,35.87609037,128.6051246,01호선
큰고개역,대구,35.88403763,128.6319274,01호선
해안역,대구,35.88353221,128.6596002,01호선
현충로역,대구,35.84093518,128.5814621,01호선
화원역,대구,35.80446456,128.5007131,01호선
감삼역,대구,35.85430996,128.5481213,02호선
강창역,대구,35.85307809,128.4785162,02호선
경대병원역,대구,35.86314374,128.6028929,02호선
계명대역,대구,35.85150761,128.4918363,02호선
고산역,대구,35.84292626,128.6932401,02호선
내당역,대구,35.86011562,128.5646401,02호선
다사역,대구,35.86482299,128.458386,02호선
담티역,대구,35.85477351,128.653975,02호선
대공원역,대구,35.84269794,128.6799764,02호선
대구은행역,대구,35.85974933,128.6141159,02호선
대실역,대구,35.85760226,128.4652499,02호선
두류역,대구,35.85720409,128.5556828,02호선
만촌역,대구,35.85884731,128.6447389,02호선
문양역,대구,35.86414371,128.4369847,02호선
반고개역,대구,35.86224495,128.5727191,02호선
반월당역,대구,35.86449649,128.5933329,02호선
범어역,대구,35.85901968,128.6267872,02호선
사월역,대구,35.83702642,128.7152922,02호선
성서산업단지역,대구,35.85171507,128.5069827,02호선
수성구청역,대구,35.85879135,128.6356384,02호선
신남역,대구,35.86419088,128.5823669,02호선
신매역,대구,35.84079369,128.7051252,02호선
연호역,대구,35.84658057,128.6716687,02호선
영남대역,대구,35.83619751,128.7527455,02호선
용산역 대구2호선,대구,35.84906031,128.5288041,02호선
이곡역,대구,35.85059492,128.5157944,02호선
임당역,대구,35.83411783,128.7408368,02호선
정평역,대구,35.8340413,128.7286623,02호선
죽전역,대구,35.850717,128.5387979,02호선
건들바위역,대구,35.85538264,128.5996815,03호선
공단역,대구,35.89197939,128.5535944,03호선
구암역,대구,35.92574234,128.5503326,03호선
남산역,대구,35.85669699,128.5834577,03호선
달성공원역,대구,35.87567517,128.582086,03호선
대봉교역,대구,35.85498714,128.6063594,03호선
동천역,대구,35.93769938,128.5566828,03호선
만평역,대구,35.88982823,128.5610385,03호선
매천역,대구,35.91267488,128.5434089,03호선
매천시장역,대구,35.90435451,128.5457284,03호선
명덕역,대구,35.85782162,128.5910961,03호선
범물역,대구,35.82082848,128.6401036,03호선
북구청역,대구,35.88374007,128.5814269,03호선
서문시장역,대구,35.8696536,128.5822319,03호선
수성구민운동장역,대구,35.85240979,128.6251246,03호선
수성못역,대구,35.83134891,128.6232121,03호선
수성시장역,대구,35.85431688,128.6160204,03호선
신남역,대구,35.86419088,128.5823669,03호선
어린이회관역,대구,35.84515548,128.6244674,03호선
용지역,대구,35.81825339,128.6465342,03호선
원대역,대구,35.88783407,128.5743546,03호선
지산역,대구,35.82513898,128.6319377,03호선
칠곡경대병원역,대구,35.95838399,128.5598818,03호선
칠곡운암역,대구,35.93145546,128.5545216,03호선
태전역,대구,35.91963411,128.5474216,03호선
팔거역,대구,35.94403995,128.5583365,03호선
팔달역,대구,35.89783532,128.5467313,03호선
팔달시장역,대구,35.88883818,128.5678629,03호선
학정역,대구,35.95154431,128.5591932,03호선
황금역,대구,35.83907142,128.6239007,03호선
녹동역,광주,35.10678707,126.933991,01호선
소태역,광주,35.12333528,126.9323979,01호선
학동증심사입구역,광주,35.1327252,126.9283963,01호선
남광주역,광주,35.13928379,126.9229699,01호선
문화전당역,광주,35.14658282,126.9198903,01호선
금남로4가역,광주,35.15070738,126.9145088,01호선
금남로5가역,광주,35.15418285,126.909303,01호선
양동시장역,광주,35.15432078,126.9012692,01호선
돌고개역,광주,35.15164743,126.8949291,01호선
농성역,광주,35.15327765,126.8837108,01호선
화정역,광주,35.15195464,126.8766011,01호선
쌍촌역,광주,35.15158669,126.869534,01호선
운천역,광주,37.87996802,126.769754,01호선
상무역,광주,35.14665886,126.8485378,01호선
김대중컨벤션센터역,광주,35.1432428,126.841565,01호선
공항역,광주,35.14406527,126.8116275,01호선
송정공원역,광주,35.14354082,126.7993603,01호선
광주송정역역,광주,35.13748846,126.7915187,01호선
도산역,광주,35.13176769,126.7879784,01호선
평동역,광주,35.12472149,126.7695654,01호선
판암역,대전,36.31695386,127.4584095,01호선
신흥역,대전,36.31963986,127.4487815,01호선
대동역,대전,36.32957502,127.4428243,01호선
대전역,대전,36.3322925,127.4341077,01호선
중앙로역,대전,36.3286455,127.4258236,01호선
중구청역,대전,36.32479265,127.4195438,01호선
서대전네거리역,대전,36.32241982,127.4125597,01호선
오룡역,대전,36.32868214,127.404908,01호선
용문역,대전,36.33777053,127.3927472,01호선
탄방역,대전,36.34554726,127.3845652,01호선
시청역,대전,36.35150604,127.3867335,01호선
정부청사역,대전,37.42649391,126.9898545,01호선
갈마역,대전,36.35757019,127.3727922,01호선
월평역,대전,36.35824433,127.3645953,01호선
갑천역,대전,36.35474155,127.3546858,01호선
유성온천역,대전,36.35371679,127.3414235,01호선
구암역,대전,36.35668473,127.3307186,01호선
현충원역,대전,36.35907018,127.3217931,01호선
월드컵경기장역,대전,36.3668489,127.317836,01호선
노은역,대전,36.37413031,127.3178656,01호선
지족역,대전,36.38409294,127.3194888,01호선
반석역,대전,36.39225275,127.3145063,01호선
